Region,Country,ISO.Code,RE.or.Non.RE,Group.Technology,Technology,Producer.Type,Year,Electricity.Installed.Capacity..MW.
Africa,Benin,BEN,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2019,301
Africa,Benin,BEN,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2020,301
Africa,Benin,BEN,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2016,1
Africa,Benin,BEN,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2017,1
Africa,Benin,BEN,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2018,1
Africa,Benin,BEN,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2019,1
Africa,Benin,BEN,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2020,1
Africa,Benin,BEN,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2016,2
Africa,Benin,BEN,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2017,2
Africa,Benin,BEN,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2018,2
Africa,Benin,BEN,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2019,2
Africa,Benin,BEN,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2020,2
Africa,Benin,BEN,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2016,1
Africa,Benin,BEN,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2017,1
Africa,Benin,BEN,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2018,1
Africa,Benin,BEN,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2019,1
Africa,Benin,BEN,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2020,1
Africa,Botswana,BWA,Total Non-Renewable,Fossil fuels,Fossil fuels,Off-grid,2016,25
Africa,Botswana,BWA,Total Non-Renewable,Fossil fuels,Fossil fuels,Off-grid,2017,25
Africa,Botswana,BWA,Total Non-Renewable,Fossil fuels,Fossil fuels,Off-grid,2018,25
Africa,Botswana,BWA,Total Non-Renewable,Fossil fuels,Fossil fuels,Off-grid,2019,25
Africa,Botswana,BWA,Total Non-Renewable,Fossil fuels,Fossil fuels,Off-grid,2020,25
Africa,Botswana,BWA,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2016,892
Africa,Botswana,BWA,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2017,892
Africa,Botswana,BWA,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2018,892
Africa,Botswana,BWA,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2019,892
Africa,Botswana,BWA,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2020,892
Africa,Botswana,BWA,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2016,2
Africa,Botswana,BWA,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2017,2
Africa,Botswana,BWA,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2018,3
Africa,Botswana,BWA,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2019,3
Africa,Botswana,BWA,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2020,3
Africa,Botswana,BWA,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2016,1
Africa,Botswana,BWA,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2017,1
Africa,Botswana,BWA,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2018,1
Africa,Botswana,BWA,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2019,4
Africa,Botswana,BWA,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2020,4
Africa,Burkina Faso,BFA,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2016,293
Africa,Burkina Faso,BFA,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2017,289
Africa,Burkina Faso,BFA,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2018,289
Africa,Burkina Faso,BFA,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2019,339
Africa,Burkina Faso,BFA,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2020,339
Africa,Burkina Faso,BFA,Total Renewable,Bioenergy,Biogas,On-grid,2016,1
Africa,Burkina Faso,BFA,Total Renewable,Bioenergy,Biogas,On-grid,2017,1
Africa,Burkina Faso,BFA,Total Renewable,Bioenergy,Biogas,On-grid,2018,1
Africa,Burkina Faso,BFA,Total Renewable,Bioenergy,Biogas,On-grid,2019,1
Africa,Burkina Faso,BFA,Total Renewable,Bioenergy,Biogas,On-grid,2020,1
Africa,Burkina Faso,BFA,Total Renewable,Bioenergy,Liquid biofuels,Off-grid,2016,0
Africa,Burkina Faso,BFA,Total Renewable,Bioenergy,Liquid biofuels,Off-grid,2017,0
Africa,Burkina Faso,BFA,Total Renewable,Bioenergy,Liquid biofuels,Off-grid,2018,0
Africa,Burkina Faso,BFA,Total Renewable,Bioenergy,Liquid biofuels,Off-grid,2019,0
Africa,Burkina Faso,BFA,Total Renewable,Bioenergy,Liquid biofuels,Off-grid,2020,0
Africa,Burkina Faso,BFA,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Off-grid,2019,3
Africa,Burkina Faso,BFA,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Off-grid,2020,3
Africa,Burkina Faso,BFA,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2016,32
Africa,Burkina Faso,BFA,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2017,32
Africa,Burkina Faso,BFA,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2018,32
Africa,Burkina Faso,BFA,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2019,32
Africa,Burkina Faso,BFA,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2020,32
Africa,Burkina Faso,BFA,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2016,10
Africa,Burkina Faso,BFA,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2017,12
Africa,Burkina Faso,BFA,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2018,27
Africa,Burkina Faso,BFA,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2019,27
Africa,Burkina Faso,BFA,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2020,27
Africa,Burkina Faso,BFA,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2017,35
Africa,Burkina Faso,BFA,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2018,35
Africa,Burkina Faso,BFA,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2019,35
Africa,Burkina Faso,BFA,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2020,35
Africa,Burundi,BDI,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2016,21
Africa,Burundi,BDI,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2017,51
Africa,Burundi,BDI,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2018,51
Africa,Burundi,BDI,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2019,51
Africa,Burundi,BDI,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2020,51
Africa,Burundi,BDI,Total Renewable,Bioenergy,Solid biofuels,Off-grid,2016,4
